Origin,Destn,areabrkup,Jul-15 to Aug08,May edge,Var
GZBH,DELH,"{""eastukna-amda"":0.42,""eastukna-boma"":0.37,""eastukna-jaia"":0.39,""eastukna-ncrnonup"":0.84,""eastukna-pnqa"":0.22,""eastukna-sguj"":0.02,""eastukna-sjaia"":0.02,""ncrup-amda"":2.36,""ncrup-apda"":1.16,""ncrup-blraexnktk"":5.55,""ncrup-boma"":6.92,""ncrup-cbea"":0.65,""ncrup-cgsa"":1.04,""ncrup-coka"":1.56,""ncrup-goia"":0.14,""ncrup-hyda"":2.8,""ncrup-ixma"":0.28,""ncrup-ixub"":0.95,""ncrup-jaia"":0.84,""ncrup-maaa"":5.77,""ncrup-naga"":0.63,""ncrup-ncrnonup"":8.6,""ncrup-nktk"":0.19,""ncrup-pnpf"":0.1,""ncrup-pnqa"":3.32,""ncrup-sguj"":0.45,""ncrup-sjaia"":0.3,""ncrup-snra"":0.44,""ncrup-tirb"":0.09}",46.42,41.86,4.56
BLRH,JAIH,"{""blraexnktk-jaia"":10.98,""cbea-jaia"":0.9,""coka-jaia"":0.39,""ixma-jaia"":0.03,""maaa-jaia"":3.38}",15.68,11.19,4.49
BOMH,RPRH,"{""boma-cgsa"":3.46,""boma-jspa"":3.35,""boma-orsa"":2.61,""goia-cgsa"":0.3,""goia-jspa"":0.33,""goia-orsa"":0.53,""ixub-jspa"":0.04,""nktk-cgsa"":0.01,""pnqa-cgsa"":1.93,""pnqa-jspa"":4.04,""pnqa-orsa"":1.87,""sguj-cgsa"":0.37,""sguj-jspa"":0.76,""sguj-orsa"":1.16,""snra-cgsa"":0.29,""snra-jspa"":0.24,""snra-orsa"":0.33}",21.62,17.32,4.3
MAAH,BLRH,"{""maaa-blraexnktk"":8.11,""maaa-goia"":1.38,""maaa-jaia"":3.38,""maaa-nktk"":0.66,""maaa-sguj"":1.6,""maaa-sjaia"":0.71}",15.84,11.57,4.27
PNWH,AMCH,"{""ixca-amda"":0.33,""ixca-apda"":0.57,""ixca-blraexnktk"":1.11,""ixca-boma"":1.27,""ixca-cbea"":0.06,""ixca-ccua"":2.33,""ixca-cgsa"":0.25,""ixca-coka"":0.57,""ixca-eastukna"":0,""ixca-eastup"":1.09,""ixca-goia"":0.05,""ixca-guaa"":0.04,""ixca-hyda"":0.91,""ixca-idra"":0.57,""ixca-ixca"":0.54,""ixca-ixma"":0.11,""ixca-ixub"":0.13,""ixca-jaia"":0.29,""ixca-jspa"":0.33,""ixca-maaa"":2.75,""ixca-naga"":0.21,""ixca-ncrnonup"":4.51,""ixca-ncrup"":0.11,""ixca-nktk"":0.02,""ixca-orsa"":0.16,""ixca-path"":0.54,""ixca-pnpf"":0.02,""ixca-pnqa"":1.1,""ixca-sguj"":1.18,""ixca-sjaia"":0.27,""ixca-tirb"":0.05,""ixca-westup"":0.07}",21.54,17.41,4.13
PNQH,SNRH,"{""apda-ixub"":0.27,""apda-snra"":0.13,""ccua-snra"":0.17,""goia-ixub"":0.18,""goia-snra"":0.44,""hyda-ixub"":0.1,""hyda-snra"":0.05,""jaia-ixub"":0.01,""jaia-snra"":0.01,""maaa-ixub"":2.32,""maaa-snra"":1.06,""naga-snra"":0.13,""nktk-snra"":0,""pnqa-ixub"":2.01,""pnqa-snra"":2.6,""sguj-snra"":0.17,""tirb-ixub"":0.01}",9.66,5.65,4.01
VPIH,BLRH,"{""sguj-blraexnktk"":3.29,""sguj-cbea"":0.73,""sguj-coka"":2.65,""sguj-ixma"":0.49}",7.16,3.42,3.74
BOMH,DELH,"{""boma-ncrnonup"":25.36,""boma-ncrup"":5.3,""boma-pnpf"":0.49}",31.15,27.44,3.71
BOMH,AMCH,"{""boma-ixca"":13.75,""goia-ixca"":1.18,""ixub-ixca"":1.22,""nktk-ixca"":0.06,""pnqa-ixca"":12.09}",28.3,24.75,3.55
BLRH,DELH,"{""blraexnktk-ncrnonup"":16.4,""blraexnktk-ncrup"":3.11,""blraexnktk-pnpf"":0.66,""blraexnktk-westup"":1.3,""cbea-ncrnonup"":4.52,""cbea-ncrup"":2.18,""cbea-westup"":0,""coka-ncrnonup"":1.46,""coka-ncrup"":0.26,""coka-pnpf"":0.01,""coka-westup"":0.08,""ixma-ncrnonup"":0.38,""ixma-ncrup"":0.16,""ixma-westup"":0.01}",30.53,26.98,3.55
DELH,CCUH,"{""jaia-ccua"":1.82,""jaia-guaa"":0.07,""ncrnonup-ccua"":14.1,""ncrnonup-guaa"":3.11,""pnpf-ccua"":0.26,""sjaia-ccua"":0.02}",19.38,15.9,3.48
BOMH,IDRH,"{""boma-eastukna"":0.31,""boma-eastup"":5.8,""boma-idra"":9.61,""boma-path"":1.8,""boma-westup"":1.73,""ccua-idra"":1.13,""sguj-eastukna"":0.19,""sguj-eastup"":2.37,""sguj-idra"":0.89,""sguj-path"":0.67,""sguj-westup"":0.36}",24.86,21.44,3.42
AMCH,KNPH,"{""ixca-ccua"":6.88,""ixca-eastup"":4.42,""ixca-guaa"":1.49,""ixca-jspa"":0.96,""ixca-orsa"":1.31,""ixca-path"":1.25}",16.31,13.05,3.26
DELH,AMCH,"{""amda-ixca"":4.6,""apda-ixca"":2.25,""cgsa-ixca"":0.04,""hyda-ixca"":4.57,""idra-ixca"":0.61,""maaa-ixca"":11.9,""naga-ixca"":0.46,""ncrnonup-ixca"":18.37,""ncrnonup-pnpf"":0.86,""sjaia-ixca"":0.02,""snra-ixca"":1.08}",44.76,41.57,3.19
HYDH,VZAH,"{""amda-apda"":1.15,""boma-apda"":4.71,""cgsa-apda"":0,""eastukna-apda"":0.02,""eastup-apda"":0.11,""goia-apda"":0.22,""hyda-apda"":5.98,""hyda-ccua"":2.34,""hyda-guaa"":0.35,""hyda-jspa"":1.08,""hyda-orsa"":0.55,""hyda-path"":0.43,""idra-apda"":0.2,""ixca-apda"":1.78,""ixub-apda"":0.04,""jaia-apda"":0.04,""naga-apda"":0.29,""ncrnonup-apda"":4.19,""ncrup-apda"":1.16,""pnpf-apda"":0.04,""pnqa-apda"":2.37,""sguj-apda"":0.43,""sjaia-apda"":0.11,""snra-apda"":0.51,""tirb-apda"":0.19,""tirb-ccua"":0.03,""tirb-guaa"":0,""tirb-orsa"":0,""tirb-path"":0,""westup-apda"":0.17}",28.49,25.38,3.11
MAAH,PNQH,"{""maaa-ixub"":2.32,""maaa-pnqa"":5.18,""maaa-snra"":1.06}",8.56,5.53,3.03
PNQH,BLRH,"{""ixub-blraexnktk"":0.46,""ixub-cbea"":0.48,""ixub-coka"":1.46,""ixub-ixma"":0.5,""pnqa-blraexnktk"":13.6,""pnqa-cbea"":3.8,""pnqa-coka"":3.22,""pnqa-ixma"":1.13,""snra-blraexnktk"":5.29,""snra-cbea"":0.27,""snra-coka"":0.21,""snra-ixma"":0.22}",30.64,27.89,2.75
BLRH,MAAH,"{""blraexnktk-maaa"":13.62,""goia-maaa"":0.7,""nktk-maaa"":0.04}",14.36,11.65,2.71
IXCB,AMCH,"{""ixca-amda"":0.48,""ixca-apda"":0.27,""ixca-blraexnktk"":1.15,""ixca-boma"":0.86,""ixca-cbea"":0.02,""ixca-ccua"":0.46,""ixca-cgsa"":0.12,""ixca-coka"":0.15,""ixca-eastukna"":0.11,""ixca-eastup"":0.37,""ixca-goia"":0.24,""ixca-guaa"":0.23,""ixca-hyda"":0.59,""ixca-idra"":0.29,""ixca-ixca"":1.28,""ixca-ixma"":0.05,""ixca-ixub"":0.01,""ixca-jaia"":0.28,""ixca-jspa"":0.22,""ixca-maaa"":0.64,""ixca-naga"":0.14,""ixca-ncrnonup"":0.93,""ixca-ncrup"":0.25,""ixca-orsa"":0.45,""ixca-path"":0.26,""ixca-pnpf"":0.02,""ixca-pnqa"":0.4,""ixca-sguj"":0.11,""ixca-sjaia"":0.01,""ixca-snra"":0.13,""ixca-tirb"":0.05,""ixca-westup"":0.02}",10.59,7.92,2.67
AMDH,DELH,"{""amda-ixca"":4.6,""amda-ncrnonup"":5.9,""amda-ncrup"":0.94,""amda-pnpf"":0.06,""sguj-ncrnonup"":3.76,""sguj-ncrup"":0.78,""sguj-pnpf"":0.09}",16.13,13.54,2.59
BLRH,CCUH,"{""blraexnktk-ccua"":7.51,""blraexnktk-guaa"":0.59,""cbea-ccua"":1.36,""cbea-guaa"":0.03,""coka-ccua"":0.14,""coka-guaa"":0.05,""ixma-ccua"":0.17,""ixma-guaa"":0}",9.85,7.27,2.58
BLRH,BOMH,"{""blraexnktk-boma"":9.66,""blraexnktk-ixub"":0.56,""blraexnktk-snra"":0.95,""cbea-boma"":3.06,""cbea-ixub"":0.16,""coka-boma"":0.88,""coka-ixub"":0,""coka-snra"":0.1,""ixma-boma"":0.09}",15.46,12.9,2.56
AMCH,PNWH,"{""amda-ixca"":1.13,""apda-ixca"":1.7,""blraexnktk-ixca"":1.2,""boma-ixca"":2.38,""cbea-ixca"":0.21,""ccua-ixca"":0.27,""coka-ixca"":0.12,""eastup-ixca"":0.1,""goia-ixca"":0.16,""hyda-ixca"":0.95,""idra-ixca"":0.02,""ixca-ixca"":0.2,""ixma-ixca"":0,""ixub-ixca"":0.52,""jaia-ixca"":0.03,""jspa-ixca"":0,""maaa-ixca"":3.98,""naga-ixca"":0.1,""ncrnonup-ixca"":1.66,""ncrup-ixca"":0.43,""nktk-ixca"":0.06,""orsa-ixca"":0.01,""path-ixca"":0,""pnpf-ixca"":0.05,""pnqa-ixca"":2.14,""sguj-ixca"":0.13,""snra-ixca"":0.05,""westup-ixca"":0.05}",17.65,15.09,2.56
AMCH,IDRH,"{""ixca-amda"":2.59,""ixca-apda"":1.78,""ixca-cgsa"":1.79,""ixca-hyda"":3.49,""ixca-idra"":2.25,""ixca-naga"":0.77,""ixca-tirb"":0.28}",12.95,10.45,2.5
BOMH,NAGH,"{""boma-ixub"":3.63,""boma-naga"":7.58,""sguj-naga"":0.4}",11.61,9.27,2.34
